epoch,error,weights
171,4,"[-2.1999999999999997, -12.839999999999968, -10.100000000000051, 19.23999999999991, 17.000000000000078]"
172,4,"[-2.1999999999999997, -12.519999999999968, -10.060000000000054, 19.659999999999908, 17.080000000000076]"
173,3,"[-2.4, -13.659999999999968, -10.720000000000054, 18.899999999999906, 16.840000000000078]"
174,2,"[-2.4, -13.419999999999968, -10.760000000000055, 19.119999999999905, 16.90000000000008]"
175,2,"[-2.4, -13.239999999999966, -10.720000000000054, 19.239999999999906, 17.000000000000078]"
176,4,"[-2.4, -13.119999999999965, -10.640000000000054, 19.359999999999907, 17.200000000000074]"
177,4,"[-2.4, -12.959999999999965, -10.460000000000054, 19.579999999999906, 17.40000000000007]"
178,3,"[-2.6, -13.819999999999965, -10.960000000000056, 18.999999999999904, 17.20000000000007]"
179,2,"[-2.6, -13.579999999999965, -11.000000000000057, 19.219999999999903, 17.260000000000073]"
180,2,"[-2.6, -13.399999999999963, -10.960000000000056, 19.339999999999904, 17.36000000000007]"
181,4,"[-2.6, -13.259999999999962, -10.920000000000055, 19.459999999999905, 17.520000000000067]"
182,4,"[-2.6, -13.139999999999961, -10.840000000000057, 19.579999999999906, 17.720000000000063]"
183,4,"[-2.6, -12.979999999999961, -10.660000000000057, 19.799999999999905, 17.92000000000006]"
184,3,"[-2.8000000000000003, -13.83999999999996, -11.160000000000059, 19.219999999999903, 17.72000000000006]"
185,2,"[-2.8000000000000003, -13.59999999999996, -11.20000000000006, 19.439999999999902, 17.78000000000006]"
186,2,"[-2.8000000000000003, -13.419999999999959, -11.160000000000059, 19.559999999999903, 17.88000000000006]"
187,4,"[-2.8000000000000003, -13.299999999999958, -11.080000000000059, 19.679999999999904, 18.080000000000055]"
188,4,"[-2.8000000000000003, -13.139999999999958, -10.900000000000059, 19.899999999999903, 18.28000000000005]"
189,3,"[-3.0000000000000004, -13.999999999999957, -11.40000000000006, 19.3199999999999, 18.08000000000005]"
190,2,"[-3.0000000000000004, -13.759999999999957, -11.440000000000062, 19.5399999999999, 18.140000000000054]"
191,2,"[-3.0000000000000004, -13.579999999999956, -11.40000000000006, 19.6599999999999, 18.24000000000005]"
192,4,"[-3.0000000000000004, -13.439999999999955, -11.36000000000006, 19.7799999999999, 18.40000000000005]"
193,4,"[-3.0000000000000004, -13.319999999999954, -11.280000000000062, 19.899999999999903, 18.600000000000044]"
194,4,"[-3.0000000000000004, -13.159999999999954, -11.100000000000062, 20.1199999999999, 18.80000000000004]"
195,3,"[-3.2000000000000006, -14.019999999999953, -11.600000000000064, 19.5399999999999, 18.60000000000004]"
196,2,"[-3.2000000000000006, -13.959999999999953, -11.400000000000063, 19.6599999999999, 18.70000000000004]"
197,2,"[-3.2000000000000006, -13.779999999999951, -11.360000000000062, 19.7799999999999, 18.800000000000036]"
198,4,"[-3.2000000000000006, -13.63999999999995, -11.32000000000006, 19.899999999999903, 18.960000000000033]"
199,4,"[-3.2000000000000006, -13.51999999999995, -11.240000000000062, 20.019999999999904, 19.16000000000003]"
200,4,"[-3.2000000000000006, -13.35999999999995, -11.060000000000063, 20.239999999999903, 19.360000000000024]"
201,3,"[-3.400000000000001, -14.21999999999995, -11.560000000000064, 19.6599999999999, 19.160000000000025]"
202,2,"[-3.400000000000001, -14.159999999999949, -11.360000000000063, 19.7799999999999, 19.260000000000023]"
203,2,"[-3.400000000000001, -13.979999999999947, -11.320000000000062, 19.899999999999903, 19.36000000000002]"
204,4,"[-3.400000000000001, -13.839999999999947, -11.280000000000062, 20.019999999999904, 19.520000000000017]"
205,4,"[-3.400000000000001, -13.719999999999946, -11.200000000000063, 20.139999999999905, 19.720000000000013]"
206,3,"[-3.600000000000001, -14.599999999999946, -11.600000000000064, 19.499999999999904, 19.560000000000013]"
207,2,"[-3.600000000000001, -14.359999999999946, -11.640000000000065, 19.719999999999903, 19.620000000000015]"
208,2,"[-3.600000000000001, -14.239999999999945, -11.640000000000065, 19.7799999999999, 19.660000000000014]"
209,2,"[-3.600000000000001, -14.059999999999944, -11.600000000000064, 19.899999999999903, 19.760000000000012]"
210,4,"[-3.6000000000000005, -13.919999999999941, -11.560000000000063, 20.019999999999904, 19.92000000000001]"
211,4,"[-3.6000000000000005, -13.79999999999994, -11.480000000000064, 20.139999999999905, 20.120000000000005]"
212,4,"[-3.6000000000000005, -13.63999999999994, -11.300000000000065, 20.359999999999904, 20.32]"
213,3,"[-3.8000000000000007, -14.49999999999994, -11.800000000000066, 19.7799999999999, 20.12]"
214,2,"[-3.8000000000000007, -14.25999999999994, -11.840000000000067, 19.9999999999999, 20.180000000000003]"
215,2,"[-3.8000000000000007, -14.079999999999938, -11.800000000000066, 20.1199999999999, 20.28]"
216,4,"[-3.8000000000000007, -13.939999999999937, -11.760000000000066, 20.239999999999903, 20.439999999999998]"
217,4,"[-3.8000000000000007, -13.779999999999937, -11.580000000000066, 20.4599999999999, 20.639999999999993]"
218,3,"[-4.000000000000001, -14.639999999999938, -12.080000000000068, 19.8799999999999, 20.439999999999994]"
219,2,"[-4.000000000000001, -14.399999999999938, -12.120000000000068, 20.0999999999999, 20.499999999999996]"
220,2,"[-4.000000000000001, -14.219999999999937, -12.080000000000068, 20.2199999999999, 20.599999999999994]"
221,4,"[-4.000000000000001, -14.079999999999934, -12.040000000000067, 20.3399999999999, 20.75999999999999]"
222,4,"[-4.000000000000001, -13.959999999999933, -11.960000000000068, 20.4599999999999, 20.959999999999987]"
223,4,"[-4.000000000000001, -13.579999999999934, -11.800000000000068, 20.8399999999999, 21.099999999999987]"
224,3,"[-4.200000000000001, -14.439999999999934, -12.30000000000007, 20.2599999999999, 20.899999999999988]"
225,2,"[-4.200000000000001, -14.259999999999932, -12.260000000000069, 20.3799999999999, 20.999999999999986]"
226,4,"[-4.200000000000001, -14.11999999999993, -12.22000000000007, 20.4999999999999, 21.159999999999982]"
227,4,"[-4.200000000000001, -13.999999999999929, -12.140000000000072, 20.6199999999999, 21.359999999999978]"
228,3,"[-4.400000000000001, -14.87999999999993, -12.540000000000072, 19.9799999999999, 21.199999999999978]"
229,2,"[-4.400000000000001, -14.639999999999931, -12.580000000000073, 20.1999999999999, 21.25999999999998]"
230,2,"[-4.400000000000001, -14.51999999999993, -12.580000000000073, 20.2599999999999, 21.29999999999998]"
231,2,"[-4.400000000000001, -14.45999999999993, -12.380000000000072, 20.3799999999999, 21.399999999999977]"
232,2,"[-4.400000000000001, -14.279999999999928, -12.340000000000071, 20.4999999999999, 21.499999999999975]"
233,4,"[-4.400000000000001, -14.139999999999926, -12.300000000000072, 20.6199999999999, 21.65999999999997]"
234,4,"[-4.400000000000001, -13.979999999999926, -12.120000000000072, 20.8399999999999, 21.859999999999967]"
235,3,"[-4.600000000000001, -14.839999999999927, -12.620000000000074, 20.2599999999999, 21.659999999999968]"
236,2,"[-4.600000000000001, -14.559999999999928, -12.680000000000074, 20.5599999999999, 21.659999999999968]"
237,2,"[-4.600000000000001, -14.379999999999926, -12.640000000000073, 20.6799999999999, 21.759999999999966]"
238,4,"[-4.600000000000001, -14.239999999999924, -12.600000000000072, 20.7999999999999, 21.919999999999963]"
239,4,"[-4.600000000000001, -14.119999999999923, -12.520000000000074, 20.919999999999902, 22.11999999999996]"
240,3,"[-4.800000000000002, -14.999999999999924, -12.920000000000075, 20.2799999999999, 21.959999999999958]"
241,2,"[-4.800000000000002, -14.759999999999925, -12.960000000000075, 20.4999999999999, 22.01999999999996]"
242,2,"[-4.800000000000002, -14.699999999999925, -12.760000000000074, 20.6199999999999, 22.11999999999996]"
243,2,"[-4.800000000000002, -14.519999999999923, -12.720000000000073, 20.739999999999903, 22.219999999999956]"
244,4,"[-4.800000000000002, -14.37999999999992, -12.680000000000074, 20.859999999999904, 22.379999999999953]"
245,4,"[-4.800000000000002, -14.25999999999992, -12.600000000000076, 20.979999999999905, 22.57999999999995]"
246,3,"[-5.000000000000002, -15.13999999999992, -13.000000000000076, 20.339999999999904, 22.41999999999995]"
247,2,"[-5.000000000000002, -14.899999999999922, -13.040000000000077, 20.559999999999903, 22.47999999999995]"
248,2,"[-5.000000000000002, -14.839999999999922, -12.840000000000076, 20.679999999999904, 22.57999999999995]"
