epoch,error,weights
196,6,"[-4.900000000000002, 9.860000000000039, -11.019999999999738, -5.16000000000002, -11.539999999999967]"
197,6,"[-4.900000000000002, 10.140000000000038, -10.939999999999737, -5.0400000000000205, -11.599999999999966]"
198,6,"[-4.900000000000002, 10.280000000000038, -10.919999999999735, -4.96000000000002, -11.679999999999964]"
199,6,"[-4.900000000000002, 10.38000000000004, -10.999999999999734, -4.88000000000002, -11.759999999999962]"
200,6,"[-4.900000000000002, 10.480000000000041, -11.079999999999732, -4.80000000000002, -11.83999999999996]"
201,7,"[-5.100000000000002, 9.76000000000004, -11.519999999999731, -4.88000000000002, -11.83999999999996]"
202,6,"[-5.100000000000002, 10.020000000000042, -11.299999999999729, -4.88000000000002, -11.91999999999996]"
203,6,"[-5.100000000000002, 10.18000000000004, -11.219999999999727, -4.740000000000021, -11.899999999999961]"
204,6,"[-5.100000000000002, 10.320000000000041, -11.199999999999726, -4.6600000000000215, -11.97999999999996]"
205,6,"[-5.100000000000002, 10.460000000000042, -11.179999999999724, -4.580000000000021, -12.059999999999958]"
206,6,"[-5.100000000000002, 10.620000000000044, -11.219999999999722, -4.440000000000023, -12.079999999999957]"
207,7,"[-5.3000000000000025, 9.840000000000046, -11.67999999999972, -4.580000000000022, -12.139999999999958]"
208,6,"[-5.3000000000000025, 10.200000000000047, -11.459999999999718, -4.440000000000023, -12.219999999999958]"
209,6,"[-5.3000000000000025, 10.340000000000048, -11.439999999999717, -4.360000000000023, -12.299999999999956]"
210,6,"[-5.3000000000000025, 10.480000000000048, -11.419999999999716, -4.280000000000024, -12.379999999999955]"
211,6,"[-5.3000000000000025, 10.68000000000005, -11.359999999999713, -4.140000000000025, -12.399999999999954]"
212,7,"[-5.500000000000003, 10.12000000000005, -11.71999999999971, -4.100000000000026, -12.399999999999954]"
213,6,"[-5.500000000000003, 10.18000000000005, -11.759999999999708, -4.140000000000027, -12.499999999999954]"
214,6,"[-5.500000000000003, 10.240000000000048, -11.799999999999708, -4.180000000000028, -12.599999999999953]"
215,6,"[-5.500000000000003, 10.300000000000047, -11.839999999999707, -4.220000000000029, -12.699999999999953]"
216,6,"[-5.500000000000003, 10.360000000000046, -11.879999999999706, -4.26000000000003, -12.799999999999953]"
217,6,"[-5.500000000000003, 10.420000000000044, -11.919999999999705, -4.300000000000031, -12.899999999999952]"
218,6,"[-5.500000000000003, 10.480000000000043, -11.959999999999704, -4.340000000000032, -12.999999999999952]"
219,6,"[-5.500000000000003, 10.440000000000042, -11.999999999999703, -4.520000000000032, -13.099999999999952]"
220,6,"[-5.500000000000003, 10.720000000000043, -11.919999999999702, -4.400000000000033, -13.15999999999995]"
221,6,"[-5.500000000000003, 10.860000000000044, -11.8999999999997, -4.320000000000034, -13.239999999999949]"
222,7,"[-5.700000000000003, 10.120000000000044, -12.259999999999698, -4.460000000000035, -13.29999999999995]"
223,6,"[-5.700000000000003, 10.580000000000044, -11.919999999999694, -4.140000000000034, -13.25999999999995]"
224,6,"[-5.700000000000003, 10.720000000000043, -11.899999999999693, -4.060000000000035, -13.339999999999948]"
225,6,"[-5.700000000000003, 10.860000000000044, -11.879999999999692, -3.980000000000036, -13.419999999999947]"
226,7,"[-5.900000000000003, 10.120000000000044, -12.239999999999691, -4.1200000000000365, -13.479999999999947]"
227,6,"[-5.900000000000003, 10.480000000000045, -12.019999999999689, -3.980000000000037, -13.559999999999947]"
228,6,"[-5.900000000000003, 10.540000000000045, -12.059999999999688, -4.020000000000037, -13.659999999999947]"
229,6,"[-5.900000000000003, 10.600000000000044, -12.099999999999687, -4.060000000000038, -13.759999999999946]"
230,6,"[-5.900000000000003, 10.760000000000042, -12.019999999999685, -3.9200000000000386, -13.739999999999947]"
231,6,"[-5.900000000000003, 10.900000000000043, -11.999999999999684, -3.840000000000039, -13.819999999999945]"
232,7,"[-6.100000000000003, 10.160000000000043, -12.359999999999681, -3.9800000000000395, -13.879999999999946]"
233,6,"[-6.100000000000003, 10.520000000000044, -12.139999999999679, -3.84000000000004, -13.959999999999946]"
234,6,"[-6.100000000000003, 10.680000000000044, -12.059999999999677, -3.7000000000000406, -13.939999999999946]"
235,6,"[-6.100000000000003, 10.820000000000045, -12.039999999999676, -3.620000000000041, -14.019999999999945]"
236,6,"[-6.100000000000003, 11.020000000000046, -11.979999999999674, -3.4800000000000413, -14.039999999999944]"
237,7,"[-6.300000000000003, 10.460000000000047, -12.339999999999671, -3.4400000000000417, -14.039999999999944]"
238,6,"[-6.300000000000003, 10.520000000000046, -12.37999999999967, -3.4800000000000417, -14.139999999999944]"
239,6,"[-6.300000000000003, 10.580000000000044, -12.41999999999967, -3.5200000000000418, -14.239999999999943]"
240,6,"[-6.300000000000003, 10.640000000000043, -12.459999999999669, -3.560000000000042, -14.339999999999943]"
241,6,"[-6.300000000000003, 10.700000000000042, -12.499999999999668, -3.600000000000042, -14.439999999999943]"
242,6,"[-6.300000000000003, 10.86000000000004, -12.419999999999666, -3.460000000000042, -14.419999999999943]"
243,6,"[-6.300000000000003, 11.00000000000004, -12.399999999999665, -3.3800000000000425, -14.499999999999941]"
244,6,"[-6.300000000000003, 11.200000000000042, -12.339999999999662, -3.240000000000043, -14.519999999999941]"
245,7,"[-6.5000000000000036, 10.640000000000043, -12.69999999999966, -3.2000000000000433, -14.519999999999941]"
246,6,"[-6.5000000000000036, 10.700000000000042, -12.73999999999966, -3.2400000000000433, -14.61999999999994]"
247,6,"[-6.5000000000000036, 10.76000000000004, -12.779999999999658, -3.2800000000000433, -14.71999999999994]"
248,6,"[-6.5000000000000036, 10.82000000000004, -12.819999999999657, -3.3200000000000434, -14.81999999999994]"
249,6,"[-6.5000000000000036, 10.880000000000038, -12.859999999999657, -3.3600000000000434, -14.91999999999994]"
250,6,"[-6.5000000000000036, 11.040000000000036, -12.779999999999655, -3.2200000000000437, -14.89999999999994]"
251,6,"[-6.5000000000000036, 11.180000000000037, -12.759999999999653, -3.140000000000044, -14.979999999999938]"
252,6,"[-6.5000000000000036, 11.380000000000038, -12.699999999999651, -3.0000000000000444, -14.999999999999938]"
253,7,"[-6.700000000000004, 10.860000000000039, -12.959999999999647, -2.960000000000045, -14.999999999999938]"
